Nhóm hàng,Nhóm ngành,Nhóm sản phẩm cấp 1,Nhóm sản phẩm cấp 2,Mã hàng,Tên hàng,SL Bán,Doanh thu,SL Trả,Giá trị trả,Doanh thu thuần,Tổng giá vốn,Lợi nhuận,Tỷ suất
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S093DE38,Bộ lót bralet lụa ren có gọng không đệm dây đan đen 38,1,365000,0,0,365000,138523,226477, 62.05% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S138T34,bộ lót đệm vừa không gọng ren bèo vòng ngực trắng 34,1,350000,0,0,350000,123644,226356, 64.67% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S090V32,Bộ lót ren không gọng đệm vừa dây kép nơ trước ngực vàng 32,1,350000,0,0,350000,124445,225555, 64.44% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S090V38,Bộ lót ren không gọng đệm vừa dây kép nơ trước ngực vàng 38,1,350000,0,0,350000,124445,225555, 64.44% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S090ND32,Bộ lót ren không gọng đệm vừa dây kép nơ trước ngực nâu đất 32,1,350000,0,0,350000,124445,225555, 64.44% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S090ND38,Bộ lót ren không gọng đệm vừa dây kép nơ trước ngực nâu đất 38,1,350000,0,0,350000,124445,225555, 64.44% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S099DT38,Bộ lót lụa có gọng đệm mỏng trơn viền ren đỏ tươi 38,1,350000,0,0,350000,124523,225477, 64.42% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,Am126CA34,Bộ lót không gọng đệm vừa dây đan ngực màu cam 34,2,451835,0,0,451835,228173,223662, 49.50% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S027XN38,Bộ lót ren lưới không gọng đệm mỏng xanh nhạt 38,2,430109,0,0,430109,206736,223373, 51.93% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AM121Be32,Bộ lót trơn kẻ sọc không gọng đệm vừa be 32,2,398000,0,0,398000,176124,221876, 55.75% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S130DE38,Bộ lót ren xuyên thấu có gọng quai ren to đen 38,2,501410,0,0,501410,280210,221200, 44.12% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S108DN34,Bộ lót su không gọng đệm dày cup ngang viền ren hoa đỏ nâu 34,1,350000,0,0,350000,129647,220353, 62.96% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S108VC34,Bộ lót su không gọng đệm dày cup ngang viền ren hoa vàng 34,1,350000,0,0,350000,129647,220353, 62.96% 
